,0
d9a218e7d80484a64080d29de52b5c25,4684.0
fdf6064f224d436cab9fca3123d6ed5b,3444.0
573de77a816442f4ffcc5a2f7444325f,2833.0
cc4455b72a45a08ea0d591705a055593,2746.0
315c3f22f8830233e8038c5f1c91a145,2146.0
5da18e7263b03ab44b1432561f61bfb6,1927.0
31cd00fba72f66e1a75360e738d3b6b7,1700.0
86c02d10f7e07c80982b49552d453efc,1610.0
265f1c09070dd8759b7cdc1e723b6471,1447.0
b9f556904046f55abd446d76ba8efefb,1342.0
d0b4aac0e7315d6012736606fb6969c4,1249.0
d257770568f63356cfd789853ee16fae,1184.0
6c126fb9ed424edcb01a06f603fef867,1024.0
f24b5e2eb283d1629a6f72d796c299eb,807.0
ba524a9fc0cbcabd957cc4d81c471f56,736.0
8ffcdc7051086dad1d302e9032d5eeb6,734.0
c0704d5376bc3bfa7e3388879ee8a08f,688.0
a16cbd11d17b2a36d655834021faa8ad,684.0
edac4a817bf791110e775cfd510184ba,683.0
017bf264eb1d983a09d7cade4a8cc5ec,679.0
c4ac7719276e3c419a26a147b4af08a4,662.0
99d039f03c22523e2a83214410fcf170,660.0
a07f46ceb54ab151b6a12eaab77eaae2,639.0
4995d643dee9864061f850d02894970c,633.0
3751914393626e6c7375838d97e8ff51,619.0
44dcd466c446ff66913e37a244b39bd6,602.0
de914a6d1db7f11a72593f060a9e6992,582.0
e28f696b9b2e3394053b53e23df46cab,575.0
7e3b14c127eae3a690f85b555281a958,544.0
04eeb2a0354d6acdca0e27992e9e95fb,524.0
7d79427c2067efcdf78595b5963f0708,517.0
9376b04a857c7f513196e66ea435c1b3,517.0
e63fe85bd85d829b7f7dc23d408de17b,516.0
ce6a1b2c7c4d40fef955f5604086ec0d,511.0
e70ea51835098357b9a5110a891f858c,498.0
09252d7dc7a3a0c6d801ef97989e09a4,446.0
db86546d591479605e04ead49d35595c,409.0
4cdd8e707e61fb996ff0610aded9d235,406.0
1d2d062bc47359a729a13d9b83d09d3f,374.0
b6ad33c66634895a85d3137198cc15a6,369.0
a239231b506ba7221ddc8c1b36418bdd,368.0
c7799912bddb8fcc2665217d5cef72a0,361.0
340e4c4093bde8d43be838cc08aca846,333.0
bfdf6cae384f203a53e86e037df2647e,325.0
960a22584ce12bd77e76a6975f235efb,320.0
5831b6bd959f71516819d29d9e7e3895,318.0
0c5e3818b4194c57a1b20f25e9b775fd,313.0
b6b70159e4d521e1b362583114bb4d3f,312.0
cff55f437755e8a93f8ab161f6bb0b28,311.0
5f973981ef28f8dfed0e3161ebcb947c,308.0
ea3219fbaa781331eee2deb2e16a755b,287.0
e9d4726c059cf706a3ed7abd40ba868e,283.0
4113d55b9ff1242467b7faf2fb68db24,264.0
f8cf22c2bb392310f00370fde2cbf373,263.0
d36e2d41c44ccc4b589fad130184da65,262.0
3aec897278c7a75c5c3da9abe7b53eaa,261.0
b424315c498aae275dcfded69fe863ed,258.0
d2fe0435004ed1cbc8c9f610e04968c2,255.0
182872771920fcd46f8a2778f4acf935,255.0
234fcde4b48c9a73bcbdcb6d64b01eb1,251.0
889d05d84a6f45d54513f8001410d3d4,245.0
d89345ef3d098494a37c12f21a9c98ac,245.0
ffdb88a6adbea216d5183f44baf87736,242.0
ccb324719e07f8219f024146dfcd1389,218.0
e099764ad1600085f870d567ed642811,217.0
966998d852186acafce6c0c8eed0a116,213.0
311a0ebb8c9347caf3c1cbcb72a8cc9b,211.0
8991d8fffbf09ba4ce4b6365af6a2b60,210.0
2e7a858b85a8998811679f27111984e4,204.0
350703131ea8e4d82c4b84fe07c121ec,202.0
d419fd7ac09cc0478912e3cda11bc0a7,190.0
5a69c52053126a5d1696b366425f0577,185.0
5c2ebc8eaa86313eac00d00cfe91e4af,185.0
e7b4d688967e8c6bdd5a66abed2db0e0,183.0
0ea0ba45f0835830c8f7814453a62b7b,180.0
6b836c95f8039d91ad8dcdc4085cca78,173.0
4e8879d72c2bce75d2d9d370beb3317d,170.0
e19f34b2c6ce8f57564afa0e61d2d25c,168.0
e39920645ff13097ebc7f21c88b5b25e,155.0
af699ac2821f3b3c6e76c298aecf2257,150.0
0a9fb51e974941d64c53fd66a5f59a3e,147.0
24822973d4eed0a4317d64a2e134e6cf,145.0
42459b40f1334f9d27ad79dfd6983b0d,139.0
b6b1fe6ec6132242a54d17e2b0c5fa05,137.0
ba74025ba06692f0f99e1942b7880608,137.0
0281f5f0c1862ba657d99837c90906ed,137.0
143860364bf78d09675f2848ae70c84a,136.0
e54db88877785d457bd5724345f3e3f6,136.0
b2a45bd1944dc91e576f60132286ebfe,133.0
