function	SRR1397196	SRR1397407	SRR1397265	SRR1397339
K00001	2816.6099999999997	6368.36	3882.2	14026.11
K00002	148.0	281.0	320.0	374.0
K00003	4758.639999999999	10420.919999999998	4766.25	24316.24
K00004	547.0	1610.5	809.1700000000001	1216.25
K00005	253.0	493.25	340.27	653.84
K00007	9.0	8.0	56.0	11.5
K00008	443.67	3464.67	489.5	8341.0
K00009	110.6	268.95	108.47	883.54
K00010	1023.2700000000001	1974.8700000000001	2042.7	3595.2
K00012	7264.299999999999	15128.829999999998	8005.62	31923.240000000005
K00013	5320.04	13386.47	5946.82	25807.13
K00014	6962.5199999999995	15333.61	7981.42	32821.43
K00015	1111.94	1959.72	1622.32	11300.14
K00016	437.15	1231.96	535.39	5784.13
K00018	2002.33	8264.0	2104.6	7290.74
K00019	2805.08	3825.94	3629.5	7646.6
K00020	8190.5	14370.52	10181.4	27041.02
K00021	135.0	1631.0	164.0	2178.5
K00023	2627.6400000000003	6599.06	3438.55	14159.37
K00024	3707.21	10333.14	4223.82	22990.800000000003
K00027	1900.19	5065.79	2153.2	6278.2
K00029	4741.16	13655.36	6358.0	25608.749999999996
K00030	309.5	736.0	489.0	847.0
K00031	5019.43	17542.86	6844.2699999999995	29108.84
K00032	1012.0	103.0	938.0	170.0
K00033	2755.37	6383.82	4081.54	14108.99
K00034	164.2	1302.2	277.47	855.2900000000001
K00035	1498.94	533.22	2141.95	1001.0500000000001
K00036	3624.54	10357.67	4885.45	21319.989999999998
K00038	156.0	102.0	127.0	348.0
K00039	299.0	35.0	498.0	53.0
K00040	1282.1100000000001	929.64	1734.62	1013.3
K00041	510.44	626.47	863.95	830.3000000000001
K00042	3238.24	5465.06	3801.5499999999997	8837.119999999999
K00043	24.0	160.0	34.0	359.0
K00045	1525.0	989.0	2003.67	2343.0
K00046	1121.21	4877.77	2367.4	7650.93
K00048	86.0	326.25	109.0	487.75
K00050	1459.23	3924.61	1952.6	14899.259999999998
K00051	9.0	16.0	20.0	706.0
K00052	5008.71	13711.64	5428.049999999999	28360.04
K00053	4963.04	13523.97	5545.049999999999	25547.54
K00054	297.03999999999996	3120.92	666.15	8626.75
K00055	102.0	94.0	141.0	338.0
K00057	4929.639999999999	13749.169999999998	5459.5199999999995	25685.33
K00058	7281.5	18893.89	9212.07	43786.47
K00059	21772.420000000002	49078.240000000005	25184.7	115838.29999999999
K00060	946.1700000000001	3433.92	1336.27	6714.84
K00064	577.44	802.72	884.45	1286.3000000000002
K00065	1509.44	1661.47	2213.95	3324.2999999999997
K00066	62.6	222.5	88.0	300.75
K00067	5077.549999999999	13616.420000000002	5554.87	30331.32
K00068	9.0	98.0	4.5	118.0
