Pathway	SRR1397196	SRR1397407	SRR1397265	SRR1397339
ABC transporters [PATH:ko02010]	459217.01	921102.53	573564.7	2195280.33
AMPK signaling pathway [PATH:ko04152]	9583.09	28343.870000000003	10918.94	70511.91
Acarbose and validamycin biosynthesis [PATH:ko00525]	10779.05	30111.89	11493.189999999999	75432.71
Adherens junction [PATH:ko04520]	0.0	6.0	0.0	8.0
Adipocytokine signaling pathway [PATH:ko04920]	10199.330000000002	34755.61	13176.44	72195.84000000001
Adrenergic signaling in cardiomyocytes [PATH:ko04261]	2.0	70.67	1.0	129.66
African trypanosomiasis [PATH:ko05143]	2862.33	7263.91	4499.1	14529.08
Alanine aspartate and glutamate metabolism [PATH:ko00250]	123872.09	357811.07	147416.39	690008.5700000001
Alcoholism [PATH:ko05034]	617.6700000000001	4334.67	1875.37	4643.34
Aldosterone synthesis and secretion [PATH:ko04925]	2.0	70.67	1.0	129.66
Aldosterone-regulated sodium reabsorption [PATH:ko04960]	2.0	70.67	1.0	129.66
Alzheimer disease [PATH:ko05010]	23887.54	62816.060000000005	30389.21	112647.01000000001
Amino acid metabolism	8042.07	21895.699999999997	9322.09	42246.7
Amino acid related enzymes [BR:ko01007]	180810.4	502045.8	206649.59	1069595.61
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	118022.04	368255.23	147520.97	802743.4600000001
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	131071.43999999999	350804.24	145293.92	813626.4
Aminobenzoate degradation [PATH:ko00627]	20377.16	63131.8	29361.9	129943.98
Amoebiasis [PATH:ko05146]	1444.98	5817.889999999999	2637.74	10078.73
Amphetamine addiction [PATH:ko05031]	617.6700000000001	4334.67	1875.37	4643.34
Amyotrophic lateral sclerosis [PATH:ko05014]	25460.42	64114.090000000004	34069.56	105437.86
Antifolate resistance [PATH:ko01523]	23620.91	61285.1	28296.93	126827.72
Antigen processing and presentation [PATH:ko04612]	3342.87	11727.47	3402.82	22542.130000000005
Antimicrobial resistance genes [BR:ko01504]	37648.7	108364.63	55010.43	164796.71
Apelin signaling pathway [PATH:ko04371]	0.0	80.0	0.0	103.0
Apoptosis - fly [PATH:ko04214]	10871.48	34972.369999999995	14120.27	59471.85
Apoptosis - multiple species [PATH:ko04215]	5487.76	15206.2	8143.0	27668.53
Apoptosis [PATH:ko04210]	6706.360000000001	15719.7	9417.1	28905.03
Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	3131.77	5256.09	2838.9700000000003	13733.54
Arachidonic acid metabolism [PATH:ko00590]	5727.97	17333.59	7218.37	25712.99
Arginine and proline metabolism [PATH:ko00330]	96712.26	231933.07	125747.02	438142.0
Arginine biosynthesis [PATH:ko00220]	78096.34	217381.38999999998	92620.97	419756.11
Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]	0.0	0.0	0.0	29.0
Ascorbate and aldarate metabolism [PATH:ko00053]	31973.41	61106.24	40943.08	114520.44
Atrazine degradation [PATH:ko00791]	7293.719999999999	16629.07	10318.85	28120.530000000002
Autophagy - animal [PATH:ko04140]	0.0	80.0	0.0	103.0
Autophagy - yeast [PATH:ko04138]	2208.61	3183.39	3098.95	9526.8
Axon regeneration [PATH:ko04361]	2925.53	10670.67	3305.6	15497.9
Bacterial chemotaxis [PATH:ko02030]	105357.48000000001	290590.83999999997	122866.61	484430.84
Bacterial invasion of epithelial cells [PATH:ko05100]	46.5	265.5	90.0	391.0
Bacterial motility proteins [BR:ko02035]	295562.42	784005.79	347323.89	1295048.1300000001
Bacterial secretion system [PATH:ko03070]	112671.22	299533.69	148056.36	588342.15
Bacterial toxins [BR:ko02042]	5082.12	13318.53	8011.31	24933.34
Basal transcription factors [PATH:ko03022]	172.67	770.0	184.0	1326.5
