PathwayL2	SRR1397196	SRR1397407	SRR1397265	SRR1397339
Aging	77393.74	182382.91999999998	98782.09	356754.31
Amino acid metabolism	1279956.44	3317786.9	1589808.19	6727101.73
Biosynthesis of other secondary metabolites	223419.72	636292.5	266134.08	1286823.07
Cancer: overview	99720.12	245711.09	130609.23999999999	514181.54000000004
Cancer: specific types	39593.26	92313.25	53958.119999999995	177807.76
Carbohydrate metabolism	1368257.64	3777928.68	1695275.59	7774628.83
Cardiovascular disease	40832.21	97954.9	52145.49	188938.57
Cell growth and death	138379.07	388125.07	181415.48	826967.98
Cell motility	270297.25	708074.95	318967.47	1174674.8800000001
Cellular community - eukaryotes	8.0	387.5	16.5	196.0
Cellular community - prokaryotes	407364.56	1015030.48	503690.62	2281842.5300000003
Circulatory system	9370.86	23867.0	12003.05	37840.94
Development and regeneration	2925.53	10670.67	3305.6	15526.9
Digestive system	25426.969999999998	64895.869999999995	33101.77	146808.27
Drug resistance: antimicrobial	132703.52	344544.95999999996	164840.77	687273.4
Drug resistance: antineoplastic	54535.19	123671.7	69698.09999999999	253416.32
Endocrine and metabolic disease	39851.33	109776.58	48635.469999999994	234119.99000000002
Endocrine system	85046.09	264570.92	106302.71	582286.39
Energy metabolism	706980.3099999999	1968585.8499999999	839984.29	3950921.79
Environmental adaptation	50824.97	141780.82	63645.479999999996	274704.86000000004
Excretory system	3635.29	9202.48	4511.57	23957.94
Folding sorting and degradation	214573.52	593866.16	248047.19	1245495.76
Glycan biosynthesis and metabolism	262071.15	830844.39	310458.14999999997	1604026.84
Immune disease	5967.389999999999	16411.28	7675.97	24643.200000000004
Immune system	27832.12	89287.91	30254.19	167875.28000000003
Infectious disease: bacterial	125723.26	351967.48	157874.18	669775.15
Infectious disease: parasitic	12692.4	34772.91	20153.440000000002	62180.17
Infectious disease: viral	55094.5	156471.88	80038.37	289732.0
Lipid metabolism	342028.8	882012.94	435731.85	1826787.23
Membrane transport	595562.42	1264989.95	750226.03	2875064.19
Metabolism of cofactors and vitamins	722387.7999999999	1860404.45	864997.61	3679376.71
Metabolism of other amino acids	254333.04	673475.62	330090.61	1349601.11
Metabolism of terpenoids and polyketides	158967.28999999998	427287.02	194215.56	951723.8200000001
Nervous system	30208.98	76635.74	37456.56	143020.94
Neurodegenerative disease	148220.51	389949.62	196033.06	664888.3300000001
Not included in regular maps	5511.469999999999	17051.8	5532.32	34468.79
Nucleotide metabolism	371819.36	1006518.4099999999	442704.12	2137055.8000000003
Poorly characterized	421940.05	1202815.07	561551.65	2207908.11
Protein families: genetic information processing	2457045.03	6537117.649999999	2857097.43	14037549.020000001
Protein families: metabolism	964629.86	2600986.01	1148373.8	5397988.78
Protein families: signaling and cellular processes	2399142.48	6031199.99	3041259.71	12029832.97
Replication and repair	380799.31	1027383.4099999999	432230.75	2283829.0100000002
Signal transduction	478045.69	1251414.02	595869.02	2324250.84
Signaling molecules and interaction	1.0	0.83	1.5	29.0
Substance dependence	1855.01	13005.67	5629.11	13930.02
Transcription	19942.829999999998	53613.38	22286.050000000003	121407.61000000002
Translation	416357.07999999996	1140572.41	455344.38	2614303.33
Transport and catabolism	44510.270000000004	154755.94	61893.14	250002.49
Unclassified: genetic information processing	145604.41999999998	387220.15	181857.4	771065.96
Unclassified: metabolism	423126.26	1262498.35	549110.72	2385334.43
Unclassified: signaling and cellular processes	192526.33	561635.33	251429.48	962462.43
Xenobiotics biodegradation and metabolism	328460.8	922474.14	454615.88	1675081.39
