function	SRR1397196	SRR1397265	SRR1397339	SRR1397407
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	7343.58	8723.84	43079.95999999999	19168.06
1.1.1.136-RXN	581.44	353.45000000000005	6490.55	2651.2200000000003
1.1.1.215-RXN	273.5	491.5	1224.75	522.25
1.1.1.251-RXN	0.0	0.0	2.75	0.25
1.1.1.253-RXN	647.35	390.0	7983.25	2320.5
1.1.1.261-RXN	39.34	32.77	2407.59	211.34
1.1.1.264-RXN	110.0	75.17	87.0	298.5
1.1.1.271-RXN	1197.23	2167.92	13581.85	6419.6900000000005
1.1.1.292-RXN	356.0	516.0	429.0	156.0
1.1.1.34-RXN	135.0	164.0	2178.5	1631.0
1.1.1.39-RXN	1900.19	2153.2	6278.2	5065.79
1.1.1.43-RXN	1012.0	938.0	170.0	103.0
1.1.1.51-RXN	187.0	256.0	2270.5	1633.0
1.1.1.53-RXN	156.0	127.0	348.0	102.0
1.1.1.83-RXN	1498.33	1925.6	4089.08	2245.08
1.1.3.41-RXN	101.0	107.0	372.0	279.0
1.1.99.25-RXN	75.0	134.0	255.0	175.0
1.1.99.28-RXN	148.0	331.5	392.5	283.5
1.10.2.2-RXN	3157.12	4252.049999999999	13524.04	8358.720000000001
1.11.1.15-RXN	13307.21	14503.81	80399.89	44719.26
1.12.1.3-RXN	764.0	1032.5	26935.0	14670.5
1.12.5.1-RXN	571.5	901.0	1607.5	4679.0
1.13.11.14-RXN	12.0	34.0	0.0	0.0
1.13.11.15-RXN	204.0	299.0	2400.75	1840.5
1.13.11.16-RXN	137.0	241.0	138.41	15.92
1.13.11.25-RXN	231.0	285.0	2628.75	1793.5
1.13.11.41-RXN	42.0	40.0	124.0	9.0
1.13.11.49-RXN	241.0	252.77	2059.09	642.3299999999999
1.13.11.6-RXN	177.0	391.5	484.5	370.5
1.13.11.9-RXN	7.0	5.0	13.0	6.0
1.14.11.1-RXN	1894.5	1789.0	344.5	191.0
1.14.11.18-RXN	8.75	31.75	41.5	143.0
1.14.11.2-RXN	411.0	788.0	1536.0	429.0
1.14.12.1-RXN	302.0	427.0	4533.5	3220.0
1.14.12.15-RXN	2.0	0.0	6.0	2.0
1.14.13.59-RXN	330.0	513.77	822.0899999999999	820.5
1.14.13.70-RXN	91.0	95.0	504.0	209.0
1.14.13.84-RXN	28.0	189.0	343.0	64.0
1.14.19.1-RXN	1162.85	1491.0	5728.75	1770.5
1.14.19.3-RXN	765.5	1289.0	2762.5	1547.0
1.15.1.2-RXN	284.25	217.0	4292.75	3250.0
1.17.1.1-RXN	1979.12	1960.95	7829.700000000001	4925.89
1.17.4.2-RXN	1200.85	1182.97	7326.12	5943.45
1.17.5.1-RXN	12.85	66.0	769.25	291.5
1.17.99.1-RXN	131.4	140.0	447.0	126.0
1.18.1.2-RXN	5439.969999999999	5449.32	33787.29	16885.8
1.2.1.2-RXN	9103.85	9764.0	35608.57	19853.1
1.2.1.27-RXN	6124.04	6874.09	17341.489999999998	10454.590000000002
1.2.1.32-RXN	239.25	417.5	3415.0	2836.0
1.2.1.45-RXN	57.44	200.78	177.05	28.22
