PathwayL2,PathwayL1,Average
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Aging,Organismal Systems,455195.138333333
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
Amino acid metabolism,Metabolism,7004977.1325
